1. Berapa durasi persiapan anda untuk mengikuti UTBK? (hari),2. Berapa lama rata-rata anda belajar per-harinya? (jam),3. Berapa nilai praktek ujian anda (skala 0-100),"4. Berapa skor simulasi UTBK yang pernah anda ikuti? (Skala 1-1000, isi 0 jika tidak ada/tidak pernah ikut)",5. Berapa lama durasi tidur anda selama persiapan UTBK? (jam),6. Berapa jumlah pertemuan bimbel yang anda ikuti untuk persiapan UTBK? (Isi 0 jika tidak ada/tidak pernah ikut),7. Seberapa percaya diri anda dalam persiapan UTBK (1-10)
338,1,28,345,8,11,1
280,9,55,718,2,12,3
343,2,74,814,12,28,9
77,5,70,284,1,55,10
228,1,95,833,1,46,1
284,2,44,496,1,3,8
221,6,49,584,5,25,5
362,2,19,172,9,22,5
292,4,3,377,10,44,9
213,7,8,3,10,50,9
103,3,21,237,11,57,4
136,2,83,826,4,34,9
31,5,86,102,12,46,9
106,9,20,615,1,46,9
17,8,71,172,5,2,5
199,9,50,366,2,32,4
161,2,9,300,3,59,5
5,6,3,630,11,34,10
47,5,83,769,6,43,1
74,7,97,731,9,5,3
